"stand_id,item_name,date,inventory_level,unit_cost,reorder_threshold,reorder_amount"
"101,Hot Dog,2022-01-01,100,2.5,20,50"
"101,Pretzel,2022-01-01,50,1.75,15,40"
"101,Soda,2022-01-01,200,1.0,25,60"
"102,Hot Dog,2022-01-01,150,2.5,20,50"
"102,Pretzel,2022-01-01,100,1.75,15,40"
"102,Soda,2022-01-01,300,1.0,25,60"
"103,Popcorn,2022-01-01,75,2.0,10,30"
"103,Nachos,2022-01-01,50,2.5,15,40"
"103,Beer,2022-01-01,100,3.0,25,60"
"104,Cotton Candy,2022-01-01,20,2.0,10,30"
"104,French Fries,2022-01-01,100,2.5,20,50"
"104,Ice Cream,2022-01-01,40,1.5,15,40"
"105,Cracker Jacks,2022-01-01,25,2.0,10,30"
"105,Candy,2022-01-01,75,1.0,25,60"
"105,Water,2022-01-01,150,0.5,20,50"
"106,Pizza,2022-01-01,80,2.5,20,50"
"106,Hot Chocolate,2022-01-01,50,2.0,15,40"
"106,Chips,2022-01-01,100,1.0,25,60"
"107,Burgers,2022-01-01,120,3.5,20,50"
"107,Fried Chicken,2022-01-01,75,4.0,15,40"
"107,Soda,2022-01-01,300,1.0,25,60"
"108,Pretzel,2022-01-01,50,1.75,15,40"
"108,Ice Cream,2022-01-01,30,1.5,10,30"
"108,Water,2022-01-01,200,0.5,25,60"
"109,Hot Dogs,2022-01-01,100,2.5,20,50"
"109,Cotton Candy,2022-01-01,20,2.0,10,30"
"109,Soda,2022-01-01,200,1.0,25,60"
"110,Nachos,2022-01-01,50,2.5,15,40"
"110,Beer,2022-01-01,100,3.0,25,60"
"110,Popcorn,2022-01-01,75,2.0,20,50"
"111,Cracker Jacks,2022-01-01,25,2.0,10,30"
"111,Water,2022-01-01,150,0.5,25,60"
"111,Candy,"
"Fried calamari,75,7.00,30,60"
"Fish and chips,50,8.50,20,40"
"Tacos,100,4.00,50,75"
"Burritos,75,5.50,30,60"
"Noodles,50,6.00,20,40"
"Wings,100,7.00,50,75"
"Fried rice,75,6.50,30,60"
"Egg rolls,50,4.00,20,40"
"Shrimp cocktail,100,8.50,50,75"
"Salad,75,5.00,30,60"
"Soup,50,4.50,20,40"
"Sushi rolls,100,10.00,50,75"
"Cheese plate,75,7.50,30,60"
"Charcuterie board,50,9.00,20,40"
